"Country or Area","Year","Area","Sex","National and/or ethnic group","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Both Sexes","Czech","Census - de jure - complete tabulation","Final figure, complete","2017","13337","1"
"Australia","2016","Total","Both Sexes","Danish","Census - de jure - complete tabulation","Final figure, complete","2017","16490","1"
"Australia","2016","Total","Both Sexes","Dutch","Census - de jure - complete tabulation","Final figure, complete","2017","150826","1"
"Australia","2016","Total","Both Sexes","Egyptian","Census - de jure - complete tabulation","Final figure, complete","2017","38814","1"
"Australia","2016","Total","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2017","7811847","1"
"Australia","2016","Total","Both Sexes","Estonian","Census - de jure - complete tabulation","Final figure, complete","2017","4336","1"
"Australia","2016","Total","Both Sexes","Ethiopian","Census - de jure - complete tabulation","Final figure, complete","2017","12275","1"
"Australia","2016","Total","Both Sexes","Fijian","Census - de jure - complete tabulation","Final figure, complete","2017","22906","1"
"Australia","2016","Total","Both Sexes","Filipino","Census - de jure - complete tabulation","Final figure, complete","2017","238960","1"
"Australia","2016","Total","Both Sexes","Finnish","Census - de jure - complete tabulation","Final figure, complete","2017","11911","1"
"Australia","2016","Total","Both Sexes","French","Census - de jure - complete tabulation","Final figure, complete","2017","49968","1"
"Australia","2016","Total","Both Sexes","Frisian","Census - de jure - complete tabulation","Final figure, complete","2017","172","1"
"Australia","2016","Total","Both Sexes","Georgian","Census - de jure - complete tabulation","Final figure, complete","2017","446","1"
"Australia","2016","Total","Both Sexes","German","Census - de jure - complete tabulation","Final figure, complete","2017","444152","1"
"Australia","2016","Total","Both Sexes","Ghanaian","Census - de jure - complete tabulation","Final figure, complete","2017","4544","1"
"Australia","2016","Total","Both Sexes","Gibraltarian","Census - de jure - complete tabulation","Final figure, complete","2017","62","1"
"Australia","2016","Total","Both Sexes","Greek","Census - de jure - complete tabulation","Final figure, complete","2017","297145","1"
"Australia","2016","Total","Both Sexes","Guyanese","Census - de jure - complete tabulation","Final figure, complete","2017","296","1"
"Australia","2016","Total","Both Sexes","Hawaiian","Census - de jure - complete tabulation","Final figure, complete","2017","118","1"
"Australia","2016","Total","Both Sexes","Hispanic","Census - de jure - complete tabulation","Final figure, complete","2017","2254","1"
"Australia","2016","Total","Both Sexes","Hmong","Census - de jure - complete tabulation","Final figure, complete","2017","3135","1"
"Australia","2016","Total","Both Sexes","Hungarian","Census - de jure - complete tabulation","Final figure, complete","2017","40667","1"
"Australia","2016","Total","Both Sexes","Hutu","Census - de jure - complete tabulation","Final figure, complete","2017","26","1"
"Australia","2016","Total","Both Sexes","Icelandic","Census - de jure - complete tabulation","Final figure, complete","2017","463","1"
"Australia","2016","Total","Both Sexes","Indian","Census - de jure - complete tabulation","Final figure, complete","2017","546125","1"
"Australia","2016","Total","Both Sexes","Indian Tamil","Census - de jure - complete tabulation","Final figure, complete","2017","482","1"
"Australia","2016","Total","Both Sexes","Indonesian","Census - de jure - complete tabulation","Final figure, complete","2017","39411","1"
"Australia","2016","Total","Both Sexes","Iranian","Census - de jure - complete tabulation","Final figure, complete","2017","55587","1"
"Australia","2016","Total","Both Sexes","Iraqi","Census - de jure - complete tabulation","Final figure, complete","2017","37762","1"
"Australia","2016","Total","Both Sexes","Irish","Census - de jure - complete tabulation","Final figure, complete","2017","1243570","1"
"Australia","2016","Total","Both Sexes","Italian","Census - de jure - complete tabulation","Final figure, complete","2017","760557","1"
"Australia","2016","Total","Both Sexes","Jamaican","Census - de jure - complete tabulation","Final figure, complete","2017","923","1"
"Australia","2016","Total","Both Sexes","Japanese","Census - de jure - complete tabulation","Final figure, complete","2017","42919","1"
"Australia","2016","Total","Both Sexes","Javanese","Census - de jure - complete tabulation","Final figure, complete","2017","792","1"
"Australia","2016","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2017","13115","1"
"Australia","2016","Total","Both Sexes","Karen","Census - de jure - complete tabulation","Final figure, complete","2017","9103","1"
"Australia","2016","Total","Both Sexes","Kadazan","Census - de jure - complete tabulation","Final figure, complete","2017","151","1"
"Australia","2016","Total","Both Sexes","Kazak","Census - de jure - complete tabulation","Final figure, complete","2017","382","1"
"Australia","2016","Total","Both Sexes","Kenyan","Census - de jure - complete tabulation","Final figure, complete","2017","4679","1"
"Australia","2016","Total","Both Sexes","Kiribati","Census - de jure - complete tabulation","Final figure, complete","2017","384","1"
"Australia","2016","Total","Both Sexes","Korean","Census - de jure - complete tabulation","Final figure, complete","2017","113672","1"
"Australia","2016","Total","Both Sexes","Kunama","Census - de jure - complete tabulation","Final figure, complete","2017","16","1"
"Australia","2016","Total","Both Sexes","Kurd","Census - de jure - complete tabulation","Final figure, complete","2017","8776","1"
"Australia","2016","Total","Both Sexes","Kyrgyz","Census - de jure - complete tabulation","Final figure, complete","2017","158","1"
"Australia","2016","Total","Both Sexes","Latvian","Census - de jure - complete tabulation","Final figure, complete","2017","9162","1"
"Australia","2016","Total","Both Sexes","Lebanese","Census - de jure - complete tabulation","Final figure, complete","2017","182375","1"
"Australia","2016","Total","Both Sexes","Lithuanian","Census - de jure - complete tabulation","Final figure, complete","2017","7567","1"
"Australia","2016","Total","Both Sexes","Luxembourg","Census - de jure - complete tabulation","Final figure, complete","2017","95","1"
"Australia","2016","Total","Both Sexes","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2017","79642","1"
"Australia","2016","Total","Both Sexes","Madi","Census - de jure - complete tabulation","Final figure, complete","2017","234","1"
"Australia","2016","Total","Both Sexes","Malay","Census - de jure - complete tabulation","Final figure, complete","2017","25439","1"
"Australia","2016","Total","Both Sexes","Maltese","Census - de jure - complete tabulation","Final figure, complete","2017","96085","1"
"Australia","2016","Total","Both Sexes","New Zealand Maori","Census - de jure - complete tabulation","Final figure, complete","2017","62842","1"
"Australia","2016","Total","Both Sexes","Masai","Census - de jure - complete tabulation","Final figure, complete","2017","23","1"
"Australia","2016","Total","Both Sexes","Mauritian","Census - de jure - complete tabulation","Final figure, complete","2017","18958","1"
"Australia","2016","Total","Both Sexes","Mon","Census - de jure - complete tabulation","Final figure, complete","2017","285","1"
"Australia","2016","Total","Both Sexes","Mongol","Census - de jure - complete tabulation","Final figure, complete","2017","2856","1"
"Australia","2016","Total","Both Sexes","Montenegrian","Census - de jure - complete tabulation","Final figure, complete","2017","1353","1"
"Australia","2016","Total","Both Sexes","Moroccan","Census - de jure - complete tabulation","Final figure, complete","2017","1839","1"
"Australia","2016","Total","Both Sexes","Nauru","Census - de jure - complete tabulation","Final figure, complete","2017","290","1"
"Australia","2016","Total","Both Sexes","New Zealand","Census - de jure - complete tabulation","Final figure, complete","2017","72966","1"
"Australia","2016","Total","Both Sexes","Nigerian","Census - de jure - complete tabulation","Final figure, complete","2017","5135","1"
"Australia","2016","Total","Both Sexes","Niuean","Census - de jure - complete tabulation","Final figure, complete","2017","2267","1"
"Australia","2016","Total","Both Sexes","Norwegian","Census - de jure - complete tabulation","Final figure, complete","2017","6672","1"
"Australia","2016","Total","Both Sexes","Nubian","Census - de jure - complete tabulation","Final figure, complete","2017","78","1"
"Australia","2016","Total","Both Sexes","Ogaden","Census - de jure - complete tabulation","Final figure, complete","2017","16","1"
"Australia","2016","Total","Both Sexes","Oromo","Census - de jure - complete tabulation","Final figure, complete","2017","1633","1"
"Australia","2016","Total","Both Sexes","Pakistani","Census - de jure - complete tabulation","Final figure, complete","2017","56627","1"
"Australia","2016","Total","Both Sexes","Palestinian","Census - de jure - complete tabulation","Final figure, complete","2017","10115","1"
"Australia","2016","Total","Both Sexes","Polish","Census - de jure - complete tabulation","Final figure, complete","2017","100818","1"
"Australia","2016","Total","Both Sexes","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2017","36358","1"
"Australia","2016","Total","Both Sexes","Romanian","Census - de jure - complete tabulation","Final figure, complete","2017","17841","1"
"Australia","2016","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2017","50466","1"
"Australia","2016","Total","Both Sexes","Samoan","Census - de jure - complete tabulation","Final figure, complete","2017","48978","1"
"Australia","2016","Total","Both Sexes","Scottish","Census - de jure - complete tabulation","Final figure, complete","2017","893721","1"
"Australia","2016","Total","Both Sexes","Serbian","Census - de jure - complete tabulation","Final figure, complete","2017","58313","1"
"Australia","2016","Total","Both Sexes","Seychellois","Census - de jure - complete tabulation","Final figure, complete","2017","1676","1"
"Australia","2016","Total","Both Sexes","Sikh","Census - de jure - complete tabulation","Final figure, complete","2017","14805","1"
"Australia","2016","Total","Both Sexes","Sinhalese","Census - de jure - complete tabulation","Final figure, complete","2017","16824","1"
"Australia","2016","Total","Both Sexes","Slovak","Census - de jure - complete tabulation","Final figure, complete","2017","7537","1"
"Australia","2016","Total","Both Sexes","Slovenian","Census - de jure - complete tabulation","Final figure, complete","2017","9890","1"
"Australia","2016","Total","Both Sexes","Somalie","Census - de jure - complete tabulation","Final figure, complete","2017","15033","1"
"Australia","2016","Total","Both Sexes","South African","Census - de jure - complete tabulation","Final figure, complete","2017","71125","1"
"Australia","2016","Total","Both Sexes","Spanish","Census - de jure - complete tabulation","Final figure, complete","2017","59311","1"
"Australia","2016","Total","Both Sexes","Sudanese","Census - de jure - complete tabulation","Final figure, complete","2017","16253","1"
"Australia","2016","Total","Both Sexes","Swaziland","Census - de jure - complete tabulation","Final figure, complete","2017","58","1"
"Australia","2016","Total","Both Sexes","Swedish","Census - de jure - complete tabulation","Final figure, complete","2017","12322","1"
"Australia","2016","Total","Both Sexes","Swiss","Census - de jure - complete tabulation","Final figure, complete","2017","12880","1"
"Australia","2016","Total","Both Sexes","Syrian","Census - de jure - complete tabulation","Final figure, complete","2017","14301","1"
"Australia","2016","Total","Both Sexes","Tahitian","Census - de jure - complete tabulation","Final figure, complete","2017","263","1"
"Australia","2016","Total","Both Sexes","Tajik","Census - de jure - complete tabulation","Final figure, complete","2017","362","1"
"Australia","2016","Total","Both Sexes","Tanzanian","Census - de jure - complete tabulation","Final figure, complete","2017","603","1"
"Australia","2016","Total","Both Sexes","Tatar","Census - de jure - complete tabulation","Final figure, complete","2017","364","1"
"Australia","2016","Total","Both Sexes","Thai","Census - de jure - complete tabulation","Final figure, complete","2017","50405","1"
"Australia","2016","Total","Both Sexes","Tibetan","Census - de jure - complete tabulation","Final figure, complete","2017","1608","1"
"Australia","2016","Total","Both Sexes","Tigray","Census - de jure - complete tabulation","Final figure, complete","2017","172","1"
"Australia","2016","Total","Both Sexes","Tigre","Census - de jure - complete tabulation","Final figure, complete","2017","38","1"
"Australia","2016","Total","Both Sexes","Tokelauan","Census - de jure - complete tabulation","Final figure, complete","2017","1287","1"
"Australia","2016","Total","Both Sexes","Tongan","Census - de jure - complete tabulation","Final figure, complete","2017","20927","1"
"Australia","2016","Total","Both Sexes","Torres Strait Islander","Census - de jure - complete tabulation","Final figure, complete","2017","7272","1"
"Australia","2016","Total","Both Sexes","Trinidad and Tobago","Census - de jure - complete tabulation","Final figure, complete","2017","318","1"
"Australia","2016","Total","Both Sexes","Tunisian","Census - de jure - complete tabulation","Final figure, complete","2017","391","1"
"Australia","2016","Total","Both Sexes","Turkmenian","Census - de jure - complete tabulation","Final figure, complete","2017","345","1"
"Australia","2016","Total","Both Sexes","Turkish","Census - de jure - complete tabulation","Final figure, complete","2017","60459","1"
"Australia","2016","Total","Both Sexes","Tuvaluan","Census - de jure - complete tabulation","Final figure, complete","2017","321","1"
"Australia","2016","Total","Both Sexes","Ugandan","Census - de jure - complete tabulation","Final figure, complete","2017","1123","1"
"Australia","2016","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2017","24404","1"
"Australia","2016","Total","Both Sexes","Uruguayan","Census - de jure - complete tabulation","Final figure, complete","2017","4634","1"
"Australia","2016","Total","Both Sexes","Uzbek","Census - de jure - complete tabulation","Final figure, complete","2017","887","1"
"Australia","2016","Total","Both Sexes","Venezuelan","Census - de jure - complete tabulation","Final figure, complete","2017","2856","1"
"Australia","2016","Total","Both Sexes","Vietnamese","Census - de jure - complete tabulation","Final figure, complete","2017","253086","1"
"Australia","2016","Total","Both Sexes","Vlach","Census - de jure - complete tabulation","Final figure, complete","2017","44","1"
"Australia","2016","Total","Both Sexes","Yemeni","Census - de jure - complete tabulation","Final figure, complete","2017","493","1"
"Australia","2016","Total","Both Sexes","Yoruba","Census - de jure - complete tabulation","Final figure, complete","2017","663","1"
"Australia","2016","Total","Both Sexes","Zimbabwean","Census - de jure - complete tabulation","Final figure, complete","2017","11974","1"
"Australia","2016","Total","Both Sexes","Zulu","Census - de jure - complete tabulation","Final figure, complete","2017","202","1"
"Australia","2016","Total","Both Sexes","French Canadian","Census - de jure - complete tabulation","Final figure, complete","2017","695","1"
"Australia","2016","Total","Both Sexes","Akan","Census - de jure - complete tabulation","Final figure, complete","2017","178","1"
"Australia","2016","Total","Both Sexes","Algerian","Census - de jure - complete tabulation","Final figure, complete","2017","1153","1"
"Australia","2016","Total","Both Sexes","Argentinean","Census - de jure - complete tabulation","Final figure, complete","2017","6156","1"
"Australia","2016","Total","Both Sexes","Berber","Census - de jure - complete tabulation","Final figure, complete","2017","205","1"
"Australia","2016","Total","Both Sexes","Bermudian","Census - de jure - complete tabulation","Final figure, complete","2017","70","1"
"Australia","2016","Total","Both Sexes","Bolivian","Census - de jure - complete tabulation","Final figure, complete","2017","596","1"
"Australia","2016","Total","Both Sexes","Bosnian","Census - de jure - complete tabulation","Final figure, complete","2017","19285","1"
"Australia","2016","Total","Both Sexes","Chilean","Census - de jure - complete tabulation","Final figure, complete","2017","23894","1"
"Australia","2016","Total","Both Sexes","Colombian","Census - de jure - complete tabulation","Final figure, complete","2017","14887","1"
"Australia","2016","Total","Both Sexes","Costa Rican","Census - de jure - complete tabulation","Final figure, complete","2017","191","1"
"Australia","2016","Total","Both Sexes","Cypriot","Census - de jure - complete tabulation","Final figure, complete","2017","19151","1"
"Australia","2016","Total","Both Sexes","Ecuadorian","Census - de jure - complete tabulation","Final figure, complete","2017","1463","1"
"Australia","2016","Total","Both Sexes","Eritrean","Census - de jure - complete tabulation","Final figure, complete","2017","6168","1"
"Australia","2016","Total","Both Sexes","Flemish","Census - de jure - complete tabulation","Final figure, complete","2017","324","1"
"Australia","2016","Total","Both Sexes","Guatemalan","Census - de jure - complete tabulation","Final figure, complete","2017","213","1"
"Australia","2016","Total","Both Sexes","Gujarati","Census - de jure - complete tabulation","Final figure, complete","2017","1642","1"
"Australia","2016","Total","Both Sexes","Jordanian","Census - de jure - complete tabulation","Final figure, complete","2017","4113","1"
"Australia","2016","Total","Both Sexes","Kashmiri","Census - de jure - complete tabulation","Final figure, complete","2017","430","1"
"Australia","2016","Total","Both Sexes","Khmer","Census - de jure - complete tabulation","Final figure, complete","2017","33331","1"
"Australia","2016","Total","Both Sexes","Kuwaiti","Census - de jure - complete tabulation","Final figure, complete","2017","987","1"
"Australia","2016","Total","Both Sexes","Lao","Census - de jure - complete tabulation","Final figure, complete","2017","11162","1"
"Australia","2016","Total","Both Sexes","Liberian","Census - de jure - complete tabulation","Final figure, complete","2017","2242","1"
"Australia","2016","Total","Both Sexes","Libyan","Census - de jure - complete tabulation","Final figure, complete","2017","960","1"
"Australia","2016","Total","Both Sexes","Madura","Census - de jure - complete tabulation","Final figure, complete","2017","5","1"
"Australia","2016","Total","Both Sexes","Maya","Census - de jure - complete tabulation","Final figure, complete","2017","160","1"
"Australia","2016","Total","Both Sexes","Mexican","Census - de jure - complete tabulation","Final figure, complete","2017","4620","1"
"Australia","2016","Total","Both Sexes","Moldovan","Census - de jure - complete tabulation","Final figure, complete","2017","438","1"
"Australia","2016","Total","Both Sexes","Nepalese","Census - de jure - complete tabulation","Final figure, complete","2017","59381","1"
"Australia","2016","Total","Both Sexes","Nicaraguan","Census - de jure - complete tabulation","Final figure, complete","2017","416","1"
"Australia","2016","Total","Both Sexes","Paraguayan","Census - de jure - complete tabulation","Final figure, complete","2017","226","1"
"Australia","2016","Total","Both Sexes","Peruvian","Census - de jure - complete tabulation","Final figure, complete","2017","7505","1"
"Australia","2016","Total","Both Sexes","Puerto Rican","Census - de jure - complete tabulation","Final figure, complete","2017","174","1"
"Australia","2016","Total","Both Sexes","Punjabi","Census - de jure - complete tabulation","Final figure, complete","2017","21453","1"
"Australia","2016","Total","Both Sexes","Romani (Gypsy)","Census - de jure - complete tabulation","Final figure, complete","2017","312","1"
"Australia","2016","Total","Both Sexes","Salvadoran","Census - de jure - complete tabulation","Final figure, complete","2017","6608","1"
"Australia","2016","Total","Both Sexes","Saudi Arabian","Census - de jure - complete tabulation","Final figure, complete","2017","3909","1"
"Australia","2016","Total","Both Sexes","Senegalese","Census - de jure - complete tabulation","Final figure, complete","2017","134","1"
"Australia","2016","Total","Both Sexes","Sierra Leonean","Census - de jure - complete tabulation","Final figure, complete","2017","1888","1"
"Australia","2016","Total","Both Sexes","Sri Lankan","Census - de jure - complete tabulation","Final figure, complete","2017","92621","1"
"Australia","2016","Total","Both Sexes","Sri Lanka Tamil","Census - de jure - complete tabulation","Final figure, complete","2017","7574","1"
"Australia","2016","Total","Both Sexes","Taiwanese","Census - de jure - complete tabulation","Final figure, complete","2017","15254","1"
"Australia","2016","Total","Both Sexes","Tamil","Census - de jure - complete tabulation","Final figure, complete","2017","15367","1"
"Australia","2016","Total","Both Sexes","Uighur","Census - de jure - complete tabulation","Final figure, complete","2017","954","1"
"Australia","2016","Total","Both Sexes","Rwandan","Census - de jure - complete tabulation","Final figure, complete","2017","1003","1"
"Australia","2016","Total","Both Sexes","Togolese","Census - de jure - complete tabulation","Final figure, complete","2017","319","1"
"Australia","2016","Total","Both Sexes","Angolan","Census - de jure - complete tabulation","Final figure, complete","2017","127","1"
"Australia","2016","Total","Both Sexes","Burundian","Census - de jure - complete tabulation","Final figure, complete","2017","3261","1"
"Australia","2016","Total","Both Sexes","Cameroonian","Census - de jure - complete tabulation","Final figure, complete","2017","256","1"
"Australia","2016","Total","Both Sexes","Ivoirean","Census - de jure - complete tabulation","Final figure, complete","2017","103","1"
"Australia","2016","Total","Both Sexes","Congo","Census - de jure - complete tabulation","Final figure, complete","2017","5705","1"
"Australia","2016","Total","Both Sexes","Zambian","Census - de jure - complete tabulation","Final figure, complete","2017","1526","1"
"Australia","2016","Total","Both Sexes","African American","Census - de jure - complete tabulation","Final figure, complete","2017","1096","1"
"Australia","2016","Total","Both Sexes","Australian Aboriginal","Census - de jure - complete tabulation","Final figure, complete","2017","90939","1"
"Australia","2016","Total","Both Sexes","British NEC","Census - de jure - complete tabulation","Final figure, complete","2017","136","1"
"Australia","2016","Total","Both Sexes","Fijian Indian/Indo-Fijian","Census - de jure - complete tabulation","Final figure, complete","2017","10762","1"
"Australia","2016","Total","Both Sexes","Manx","Census - de jure - complete tabulation","Final figure, complete","2017","581","1"
"Australia","2016","Total","Both Sexes","Omani","Census - de jure - complete tabulation","Final figure, complete","2017","420","1"
"Australia","2016","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2017","1632683","1"
"Australia","2016","Total","Both Sexes","Welsh","Census - de jure - complete tabulation","Final figure, complete","2017","41364","1"
"Australia","2016","Total","Both Sexes","Acholi","Census - de jure - complete tabulation","Final figure, complete","2017","147","1"
"Australia","2016","Total","Both Sexes","Oceania, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","5830","1"
"Australia","2016","Total","Both Sexes","Papua New Guinean","Census - de jure - complete tabulation","Final figure, complete","2017","8997","1"
"Australia","2016","Total","Both Sexes","Micronesian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","44","1"
"Australia","2016","Total","Both Sexes","Polynesian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","1562","1"
"Australia","2016","Total","Both Sexes","British, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","4547","1"
"Australia","2016","Total","Both Sexes","Arab, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","34623","1"
"Australia","2016","Total","Both Sexes","Chinese Asian, nec (incl. Hui, Manchu, Yi)","Census - de jure - complete tabulation","Final figure, complete","2017","265","1"
"Australia","2016","Total","Both Sexes","Sub-saharan African, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","125","1"
"Australia","2016","Total","Both Sexes","Inadequately described","Census - de jure - complete tabulation","Final figure, complete","2017","38090","1"
"Australia","2016","Total","Both Sexes","Australian South Sea Islander","Census - de jure - complete tabulation","Final figure, complete","2017","3439","1"
"Australia","2016","Total","Both Sexes","New Caledonian","Census - de jure - complete tabulation","Final figure, complete","2017","71","1"
"Australia","2016","Total","Both Sexes","Ni-Vanuatu","Census - de jure - complete tabulation","Final figure, complete","2017","389","1"
"Australia","2016","Total","Both Sexes","Solomon Islander","Census - de jure - complete tabulation","Final figure, complete","2017","834","1"
"Australia","2016","Total","Both Sexes","Melanesian and Papuan, nec (incl. Bisorio, Bougainvillian, Huli)","Census - de jure - complete tabulation","Final figure, complete","2017","53","1"
"Australia","2016","Total","Both Sexes","Micronesian, nec (incl. Marianas Islander, Marshallese, Palauan)","Census - de jure - complete tabulation","Final figure, complete","2017","76","1"
"Australia","2016","Total","Both Sexes","North-West European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","578","1"
"Australia","2016","Total","Both Sexes","Polynesian, nec (incl. Hawaiian, Pitcairn Islander, Tahitian)","Census - de jure - complete tabulation","Final figure, complete","2017","157","1"
"Australia","2016","Total","Both Sexes","Western European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","73","1"
"Australia","2016","Total","Both Sexes","Western European, nec (incl. Alsatian, Frisian, Luxembourgish)","Census - de jure - complete tabulation","Final figure, complete","2017","76","1"
"Australia","2016","Total","Both Sexes","North European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","1994","1"
"Australia","2016","Total","Both Sexes","North European, nec (incl. Faeroese, Greenlandic, Saami)","Census - de jure - complete tabulation","Final figure, complete","2017","131","1"
"Australia","2016","Total","Both Sexes","Southern European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","47","1"
"Australia","2016","Total","Both Sexes","Catalan","Census - de jure - complete tabulation","Final figure, complete","2017","192","1"
"Australia","2016","Total","Both Sexes","Southern European, nec (incl. Andorran, Galician, Ladin)","Census - de jure - complete tabulation","Final figure, complete","2017","24","1"
"Australia","2016","Total","Both Sexes","South Eastern European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","17463","1"
"Australia","2016","Total","Both Sexes","South Eastern European, nec (incl. Aromani, Karakachani, Vlach)","Census - de jure - complete tabulation","Final figure, complete","2017","12","1"
"Australia","2016","Total","Both Sexes","Eastern European, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","4903","1"
"Australia","2016","Total","Both Sexes","Eastern European, nec (incl. Adygei, Khanty, Sorb/Wend)","Census - de jure - complete tabulation","Final figure, complete","2017","359","1"
"Australia","2016","Total","Both Sexes","North African and Middle Eastern, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","5935","1"
"Australia","2016","Total","Both Sexes","Arab, nec (incl. Baggara, Bedouin, Yemeni)","Census - de jure - complete tabulation","Final figure, complete","2017","546","1"
"Australia","2016","Total","Both Sexes","Other North African and Middle Eastern, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","138","1"
"Australia","2016","Total","Both Sexes","Assyrian/ Chaldean","Census - de jure - complete tabulation","Final figure, complete","2017","26988","1"
"Australia","2016","Total","Both Sexes","Coptic","Census - de jure - complete tabulation","Final figure, complete","2017","1109","1"
"Australia","2016","Total","Both Sexes","Other North African and Middle Eastern, nec (incl. Azande, Beja, Nubian)","Census - de jure - complete tabulation","Final figure, complete","2017","5462","1"
"Australia","2016","Total","Both Sexes","South-East Asian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","889","1"
"Australia","2016","Total","Both Sexes","Mainland South-East Asian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","55","1"
"Australia","2016","Total","Both Sexes","Anglo-Burmese","Census - de jure - complete tabulation","Final figure, complete","2017","414","1"
"Australia","2016","Total","Both Sexes","Mainland South-East Asian, nec (incl. Arakanese, Karen, Mon)","Census - de jure - complete tabulation","Final figure, complete","2017","846","1"
"Australia","2016","Total","Both Sexes","Timorese","Census - de jure - complete tabulation","Final figure, complete","2017","4693","1"
"Australia","2016","Total","Both Sexes","Maritime South-East Asian, nec (incl. Balinese, Irian Jayan, Sumatran)","Census - de jure - complete tabulation","Final figure, complete","2017","700","1"
"Australia","2016","Total","Both Sexes","Other North-East Asian, nec (incl. Ainu, Menba, Xiareba)","Census - de jure - complete tabulation","Final figure, complete","2017","6","1"
"Australia","2016","Total","Both Sexes","Southern and Central Asian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","94","1"
"Australia","2016","Total","Both Sexes","Southern Asian, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","13365","1"
"Australia","2016","Total","Both Sexes","Anglo-Indian","Census - de jure - complete tabulation","Final figure, complete","2017","8770","1"
"Australia","2016","Total","Both Sexes","Malayali","Census - de jure - complete tabulation","Final figure, complete","2017","1068","1"
"Australia","2016","Total","Both Sexes","Southern Asian, nec (incl. Bhote, Kashmiri, Sherpa)","Census - de jure - complete tabulation","Final figure, complete","2017","1314","1"
